village,market.name,village.corrected,
17,kigwe,kigwe,
477,sibwesa,sibwesa,
alago,lalago,lalago,
bahi,bahi.sokoni,bahi.sokoni,
bahi.sokoni,bahi,bahi.sokoni,
bahi.sokoni,bahi.sokoni,bahi.sokoni,
budekwa,lalago,budekwa,
bushigwamara,mwasamba,bushigwama,
chabushitara,lalago,chabushitara,
chalisuka,madibi,chalisuka,
chalisuka,madibira,chalisuka,
chanikanguo,changikanguo,chanikanguo,
chanikanguo,chanikanguo,chanikanguo,
chibini,mwena,chibwini,
chibwini,mwena,chibwini,
chikolopola,chikolopola,chikolopola,
chikoropola,chikoropola,chikoropola,
chingutwa,chiungutwa,chiungutwa,
chiungutwa,chiungutwa,chiungutwa,
gongoni,gongoni,gongoni,
gongoni,rudewa.gongoni,gongoni,
iñyonga,iñyonga,inyonga,
iñyonga,inyonga,inyonga,
ibindi,ibindi,ibindi,
ibulyu,ibulyu,ibulyu,
idandu,kikurukutu,idandu,
idiwili,idiwili,idiwili,
idiwili.540,idiwili,idiwili,
igaganulwa,dutwa,igaganulwa,
igaganulwa,igaganulwa,igaganulwa,
igangwe,shauri.moyo,igangwe,
igangwe,shaurimoyo,igangwe,
igongwa,lalago,igongwa,
ihanga,ihanga,ihanga,
ihanga,rujewa,ihanga,
ihowanza,212,ihowanza,
ihowanza,ihowanza,ihowanza,
ihowaza,ihowanza,ihowanza,
ikuba,usevya,ikuba,
ilanga,muze,ilanga,
ilyamatundulp,kilyamatundu,kiliamatundu,
imalilo,kidinda,imalilosongwe,
imalilosongwe,imalilasongwe,imalilosongwe,
imalilosongwe,imalilosongwe,imalilosongwe,
intalamila,intalamila,ntalamila,
inteka,inteka,itenka,
inteka.a,itenka,itenka,
intenka,inteka,itenka,
intenka,intenka,itenka,
intenka,itenka,itenka,
inyonga,iñyonga,inyonga,
inyonga,inyonga,inyonga,
inyonga,inyongo,inyonga,
iputi,iputi,iputi,
iputi,uputi,iputi,
isangawane,shaurimoyo,igangwe,
isinta,isunta,isunta,
isunta,isunta,isunta,
itenka,itenka,itenka,
itenka.a,itenka,itenka,
itenka.a,itenka.a,itenka,
itete,itete,njiwa.juu,
itete.juu,itete,njiwa.juu,
itete.njiwa,itete,njiwa.juu,
itunundu,itunundu,itunundu,
itunundu,kiman,itunundu,
itunundu,kimande,itunundu,
kabila,kabila,kabila,
kabungu,minyagala,kabungu,
kakola,kakola,kakola,
kakola,ndugu,kakola,
kakola,ngudu,kakola,
kakora,ngud,kakola,
kakora,ngudu,kakola,
kibaoni,kibaoni,kibaoni,
kibaoni,kibaono,kibaoni,
kibaono,kibaoni,kibaoni,
kidinda,kidainda,kidinda,
kidinda,kidinda,kidinda,
kigwe,kigwe,kigwe,
kijereshi,mwasamba,kijereshi,
kiliamatundu,kiliamatundu,kiliamatundu,
kiliamatundu,kilyamatundu,kiliamatundu,
kiliamatundu,kiylamatundu,kiliamatundu,
kilida,kilda.kona,kilida.kona,
kilida,kilida.kona,kilida.kona,
kiliyamatundu,kilyamatundu,kiliyamatundu,
kilyamatundu,kiliyamatundu,kiliyamatundu,kiliamatundu? Same as kilyamatundu?
kilyamatundu,kilyamatundu,kiliyamatundu,
kimande,315,kimande,
kimande,itunundu,kimande,
kimande,kimand6,kimande,
kimande,kimande,kimande,
kiswago,mfanyabiashara,kiswago,
kiswago,salamiti,kiswago,
kitangari,kitangari,kitangari,
kitangari.sokoni,kitangari,kitangari,
kitupa,majimoto,kitupa,
kitupa,makimoto,kitupa,
kivukoni,chiwale,kivukoni,
klyamatundu,klyamatundu,kiliyamatundu,
kobaoni,kibaoni,kibaoni,
kongogo,kongogo,kongogo,
kyilamatundu,kyilamatundu,kiliyamatundu,
kyilamatundu,kyimatundu,kiliyamatundu,
kyilamtundu,kyilamatundu,kiliyamatundu,
lalago,alago,lalago,
lalago,lalago,lalago,
lalagoo,lalago,lalago,
lamadi,mwasamba,lamadi,
lamaiti,lamaiti,lamaiti,
llago,lalaggo,lalago,
luchingu,luchingu,luchingu,
lukande,lukande,lukande,
lukula,nanyumbu,lukula,
lukuledi,lukuledi,lukuledi,
lumesule,maneme,lumesule,
lumesule,nanyumbu,lumesule,
lutubiga,mwasamba,lutubiga,
ma.neme,nanyumbu,maneme,
