village,market.name,market.corrected
mkonywa,4,mkonywa
mtandi.b,36,mtandi.b
mumbaka,166,mumbaka
ihowanza,212,ihowanza
mbao,221,mbao
kimande,315,kimande
lalago,alago,lalago
ntungwa,ambao,mbao
bahi.sokoni,bahi,bahi.sokoni
bahi,bahi.sokoni,bahi.sokoni
bahi.sokoni,bahi.sokoni,bahi.sokoni
mwasamba,chabutwa,chabutwa
chanikanguo,changikanguo,chanikanguo
chanikanguo,chanikanguo,chanikanguo
chikolopola,chikolopola,chikolopola
chikoropola,chikoropola,chikoropola
chingutwa,chiungutwa,chiungutwa
chiungutwa,chiungutwa,chiungutwa
kivukoni,chiwale,chiwale
igaganulwa,dutwa,dutwa
gongoni,gongoni,gongoni
iñyonga,iñyonga,inyonga
inyonga,iñyonga,inyonga
idiwili,idiwili,idiwili
idiwili.540,idiwili,idiwili
igaganulwa,igaganulwa,igaganulwa
ihanga,ihanga,ihanga
ihowanza,ihowanza,ihowanza
ihowaza,ihowanza,ihowanza
mufindi,ihowanza,ihowanza
imalilosongwe,imalilasongwe,imalilosongwe
imalilosongwe,imalilosongwe,imalilosongwe
mwavala,imalilosongwe,imalilosongwe
intalamila,intalamila,ntalamila
inteka,inteka,itenka
intenka,inteka,itenka
intenka,intenka,itenka
iñyonga,inyonga,inyonga
inyonga,inyonga,inyonga
inyonga,inyongo,inyonga
iputi,iputi,iputi
mbuga,iputi,iputi
nkongo,iputi,iputi
isinta,isunta,isunta
isunta,isunta,isunta
mtenga,isunta,isunta
njiwa.juu,ite,itete
ibindi,itenka,itenka
inteka.a,itenka,itenka
intenka,itenka,itenka
itenka,itenka,itenka
itenka.a,itenka,itenka
itenka.a,itenka.a,itenka
itete,itete,itete
itete.juu,itete,itete
itete.njiwa,itete,itete
njiwa,itete,itete
njiwa.jui,itete,itete
njiwa.juu,itete,itete
njwa.juu,itete,itete
njiwa.juu,itte,itete
itunundu,itunundu,itunundu
kimande,itunundu,itunundu
ndagalu,kabali,kabila
kabila,kabila,kabila
ndagalu,kabila,kabila
ndagalu,kabo,kabila
kakola,kakola,kakola
nkhome,khome,nkhome
kibaoni,kibaoni,kibaoni
kibaono,kibaoni,kibaoni
kobaoni,kibaoni,kibaoni
usevya,kibaoni,kibaoni
kibaoni,kibaono,kibaoni
kidinda,kidainda,kidinda
ibulyu,kidinda,kidinda
imalilo,kidinda,kidinda
kidinda,kidinda,kidinda
17,kigwe,kigwe
kigwe,kigwe,kigwe
idandu,kikurukutu,kikurukutu
kilida,kilda.kona,kilida.kona
kiliamatundu,kiliamatundu,kiliamatundu
kilida,kilida.kona,kilida.kona
kilyamatundu,kiliyamatundu,kiliyamatundu
ilyamatundulp,kilyamatundu,kiliyamatundu
kiliamatundu,kilyamatundu,kiliyamatundu
kiliyamatundu,kilyamatundu,kiliyamatundu
kilyamatundu,kilyamatundu,kiliyamatundu
mpona,kilyamatundu,kiliyamatundu
itunundu,kiman,kimande
kimande,kimand6,kimande
itunundu,kimande,kimande
kimande,kimande,kimande
kitangari,kitangari,kitangari
kitangari.sokoni,kitangari,kitangari
kiliamatundu,kiylamatundu,kiliyamatundu
klyamatundu,klyamatundu,kiliyamatundu
kongogo,kongogo,kongogo
kyilamatundu,kyilamatundu,kilyamatundu
kyilamtundu,kyilamatundu,kilyamatundu
kyilamatundu,kyimatundu,kiliyamatundu
llago,lalaggo,lalago
alago,lalago,lalago
budekwa,lalago,lalago
chabushitara,lalago,lalago
igongwa,lalago,lalago
lalago,lalago,lalago
lalagoo,lalago,lalago
mbaragane,lalago,lalago
mnadani,lalago,lalago
mpandang.ombe,lalago,lalago
mwakidiga,lalago,lalago
mwamashindike,lalago,lalago
mwandete,lalago,lalago
nyalikungu,lalago,lalago
shinyanga.mwenge,lalago,lalago
somanda,lalago,lalago
sulu,lalago,lalago
zabazaba,lalago,lalago
lamaiti,lamaiti,lamaiti
mindola,lamaiti,lamaiti
luchingu,luchingu,luchingu
lukande,lukande,lukande
lukuledi,lukuledi,lukuledi
mad,mad,mad
chalisuka,madibi,madibira
chalisuka,madibira,madibira
madibira,madibira,madibira
mailisita,mailisita,mailisita
majengo,majengo,majengo
kitupa,majimoto,majimoto
majimoto,majimoto,majimoto
makanda,makanda,makanda
kitupa,makimoto,majimoto
nakarara,makong.onda,makong.onda
manawa,manawa,manawa
lumesule,maneme,maneme
manema,maneme,maneme
mapogoro,mapo,mapogoro
mahango,mapogoro,mapogoro
mapogoro,mapogoro,mapogoro
mavimba,mavimba,mavimba
milola,mavimba,mavimba
mayamaya,mayamaya,mayamaya
mbao,mbao,mbao
ntungwa,mbao,mbao
ntungwe,mbao,mbao
namhanga,mbeja,mbenja
namuhanga,mbeja,mbenja
namhanga,mbenja,mbenja
namuhanga,mbenja,mbenja
mbuyuni,mbuyuni,mbuyuni
mbuyuni17,mbuyuni,mbuyuni
machauru,mchauru,mchauru
mchauru,mchauru,mchauru
kiswago,mfanyabiashara,mfanyabiashara
manawa,minawa,manawa
minepa,minepa,minepa
kabungu,minyagala,minyagala
minyagala,minyagala,minyagala
manawa,misasi,misasi
minawa,misasi,misasi
misasi,misasi,misasi
majembe,mkundi,mkundi
mnavira,mnavira,mnavira
mnkola,mnko,mnkola
mnkola,mnkola,mnkola
mnkolah,mnkola,mnkola
mnkola,mnkolah,mnkola
miomboni,mnunuzi,mnunuzi
mnkola,mnunuzi,mnunuzi
mnyagala,mnyagala,minyagala
nyagala,mnyagala,minyagala
miomboni,mofu,mofu
miyomboni,mofu,mofu
mapogoro,mp,mapogoro
mpunguzi,mpunguz,mpunguzi
mpunguzi,mpunguzi,mpunguzi
msisi,msisi,msisi
mtandi,mtandi,mtandi.b
mtandi.b,mtandi,mtandi.b
mtandi.b,mtandi.b,mtandi.b
majengo,mtonya,mtonya
muhesi,muhesi,muhesi
muhuwesi,muhuwesi,mumuwesi
mumbaka,mumbaka,mumbaka
mundemu,mundemu,mundemu
mapogoro,muungano,muungano
muungano,muungano,muungano
muze,muz3,muze
ilanga,muze,muze
muze,muze,muze
muze1,muze,muze
mwamapalala,mwamapalal,mwamapalala
mwamapalal,mwamapalala,mwamapalala
mwamapalala,mwamapalala,mwamapalala
mwamapalalal,mwamapalala,mwamapalala
mwamaplala,mwamapalala,mwamapalala
mwampalala,mwamapalala,mwamapalala
mwapalala,mwamapalala,mwamapalala
mwamalalala,mwamaplala,mwamapalala
mwamapalala,mwapalala,mwamapalala
bushigwamara,mwasamba,mwasamba
kijereshi,mwasamba,mwasamba
lamadi,mwasamba,mwasamba
lutubiga,mwasamba,mwasamba
mwakiloba,mwasamba,mwasamba
mwamigongwa,mwasamba,mwasamba
mwangika,mwasamba,mwasamba
mwasamba,mwasamba,mwasamba
mwassamba,mwasamba,mwasamba
chibini,mwena,mwena
chibwini,mwena,mwena
mzia,mzia,mziha
mziha,mziha,mziha
nanjota,nacnjota,nanjota
nagaga,nagaga,nagaga
nagaga,nalemanga,nalemanga
nagaga,namalenga,namalenga
namhanga,namhanga,namhanga
namwawala,namwawala,namwawala
na.upanga,nangaya,nangaya
upanga,nangaya,nangaya
mwogozo,nangoo,nangoo
mwongozo,nangoo,nangoo
nangwala,nangwala,nangwala
nanjo88,nanjota,nanjota
nanjota,nanjota,nanjota
nanjota,nanjots,nanjota
lukula,nanyumbu,nanyumbu
lumesule,nanyumbu,nanyumbu
ma.neme,nanyumbu,nanyumbu
manema,nanyumbu,nanyumbu
maneme,nanyumbu,nanyumbu
manemme,nanyumbu,nanyumbu
masuguru,nanyumbu,nanyumbu
maneme,nayumbu,nanyumbu
ndagalu,ndagalu,ndagalu
mbaju,ndomoni,ndomoni
ndomoni,ndomoni,ndomoni
kakola,ndugu,ngudu
kakora,ngud,ngudu
kakola,ngudu,ngudu
kakora,ngudu,ngudu
sumaha,ngudu,ngudu
