village,village.crossref,market.name,market.crossref
17,kigwe,kigwe,kigwe
477,kigwe,sibwesa,sibwesa
alago,lalago,lalago,lalago
bahi,bahi.sokoni,bahi.sokoni,bahi
bahi.sokoni,bahi.sokoni,bahi,bahi
bahi.sokoni,bahi.sokoni,bahi.sokoni,bahi
budekwa,lalago,lalago,lalago
bushigwamara,mwasamba,mwasamba,mwasamba
chabushitara,lalago,lalago,lalago
chalisuka,chalisuka,madibi,madibira
chalisuka,chalisuka,madibira,madibira
chanikanguo,chanikanguo,changikanguo,changikanguo
chanikanguo,chanikanguo,chanikanguo,changikanguo
chibini,chibwini,mwena,mwena
chibwini,chibwini,mwena,mwena
chikolopola,chikolopola,chikolopola,chikolopola
chikoropola,chikolopola,chikoropola,chikolopola
chingutwa,chiungutwa,chiungutwa,chiungutwa
chiungutwa,chiungutwa,chiungutwa,chiungutwa
gongoni,gongoni,gongoni,gongoni
gongoni,gongoni,rudewa.gongoni,gongoni
iñyonga,inyonga,iñyonga,inyonga
iñyonga,inyonga,inyonga,inyonga
ibindi,itenka.a,itenka,itenka
ibulyu,kidinda,kidinda,kidinda
idandu,idandu,kikurukutu,kikurukutu
idiwili,idiwili,idiwili,idiwili
idiwili.540,idiwili,idiwili,idiwili
igaganulwa,igaganulwa,dutwa,igaganulwa
igaganulwa,igaganulwa,igaganulwa,igaganulwa
igangwe,igangwe,shauri.moyo,shauri.moyo
igangwe,igangwe,shaurimoyo,shauri.moyo
igongwa,lalago,lalago,lalago
ihanga,ihanga,ihanga,rujewa
ihanga,ihanga,rujewa,rujewa
ihowanza,ihowanza,212,ihowanza
ihowanza,ihowanza,ihowanza,ihowanza
ihowaza,ihowanza,ihowanza,ihowanza
ikuba,usevya,usevya,usevya
ilanga,muze,muze,muze
ilyamatundulp,kilyamatundu,kilyamatundu,kilyamatundu
imalilo,kidinda,kidinda,kidinda
imalilosongwe,imalilosongwe,imalilasongwe,imalilosongwe
imalilosongwe,imalilosongwe,imalilosongwe,imalilosongwe
intalamila,ntalamila,intalamila,ntalamila
inteka,itenka.a,inteka,itenka
inteka.a,itenka.a,itenka,itenka
intenka,itenka.a,inteka,itenka
intenka,itenka.a,intenka,itenka
intenka,itenka.a,itenka,itenka
inyonga,kinyonga,iñyonga,inyonga
inyonga,kinyonga,inyonga,inyonga
inyonga,kinyonga,inyongo,inyonga
iputi,iputi,iputi,iputi
iputi,iputi,uputi,iputi
isangawane,igangwe,shaurimoyo,shauri.moyo
isinta,isunta,isunta,isunta
isunta,isunta,isunta,isunta
itenka,itenka.a,itenka,itenka
itenka.a,itenka.a,itenka,itenka
itenka.a,itenka.a,itenka.a,itenka
itete,itete,itete,itete
itete.juu,itete,itete,itete
itete.njiwa,itete,itete,itete
itunundu,kimande,itunundu,kimande
itunundu,kimande,kiman,kimande
itunundu,kimande,kimande,kimande
kabila,ndagalu,kabila,kabila
kabungu,minyagala,minyagala,minyagala
kakola,kakola,kakola,kakola
kakola,kakola,ndugu,kakola
kakola,kakola,ngudu,kakola
kakora,kakola,ngud,kakola
kakora,kakola,ngudu,kakola
kibaoni,kibaoni,kibaoni,kibaoni
kibaoni,kibaoni,kibaono,kibaoni
kibaono,kibaoni,kibaoni,kibaoni
kidinda,kidinda,kidainda,kidinda
kidinda,kidinda,kidinda,kidinda
kigwe,kigwe,kigwe,kigwe
kijereshi,mwasamba,mwasamba,mwasamba
kiliamatundu,kilyamatundu,kiliamatundu,kilyamatundu
kiliamatundu,kilyamatundu,kilyamatundu,kilyamatundu
kiliamatundu,kilyamatundu,kiylamatundu,kilyamatundu
kilida,kilda.kona,kilda.kona,kilda.kona
kilida,kilda.kona,kilida.kona,kilda.kona
kiliyamatundu,kilyamatundu,kilyamatundu,kilyamatundu
kilyamatundu,kilyamatundu,kiliyamatundu,kilyamatundu
kilyamatundu,kilyamatundu,kilyamatundu,kilyamatundu
kimande,kimande,315,kimande
kimande,kimande,itunundu,kimande
kimande,kimande,kimand6,kimande
kimande,kimande,kimande,kimande
kiswago,kiswago,mfanyabiashara,salamiti
kiswago,kiswago,salamiti,salamiti
kitangari,kitangari,kitangari,kitangari
kitangari.sokoni,kitangari,kitangari,kitangari
kitupa,kitupa,majimoto,majimoto
kitupa,kitupa,makimoto,majimoto
kivukoni,kivukoni,chiwale,chiwale
klyamatundu,kilyamatundu,klyamatundu,kilyamatundu
kobaoni,kibaoni,kibaoni,kibaoni
kongogo,kongogo,kongogo,kongogo
kyilamatundu,kilyamatundu,kyilamatundu,kilyamatundu
kyilamatundu,kilyamatundu,kyimatundu,kilyamatundu
kyilamtundu,kilyamatundu,kyilamatundu,kilyamatundu
lalago,lalago,alago,lalago
lalago,lalago,lalago,lalago
lalagoo,lalago,lalago,lalago
lamadi,mwasamba,mwasamba,mwasamba
lamaiti,lamaiti,lamaiti,lamaiti
llago,lalago,lalaggo,lalago
luchingu,luchingu,luchingu,luchingu
lukande,lukande,lukande,lukande
lukula,maneme,nanyumbu,nanyumbu
lukuledi,lukuledi,lukuledi,lukuledi
lumesule,maneme,maneme,nanyumbu
lumesule,maneme,nanyumbu,nanyumbu
lutubiga,mwasamba,mwasamba,mwasamba
ma.neme,maneme,nanyumbu,nanyumbu
machauru,mchauru,mchauru,mchauru
mad,madibira,mad,madibira
madibira,chalisuka,madibira,madibira
madibira,chalisuka,shalisuka,madibira
mahango,mapogoro,mapogoro,mapogoro
mailisita,mailisita,mailisita,mailisita
majembe,majembe,mkundi,mkundi
majengo,majengo,majengo,mtonya
majengo,majengo,mtonya,mtonya
majimoto,majimoto,majimoto,majimoto
makanda,makanda,makanda,makanda
mamba,mamba,shinyang,shinyanga
mamba,mamba,shinyanga,shinyanga
manawa,manawa,manawa,misasi
manawa,manawa,minawa,misasi
manawa,manawa,misasi,misasi
manema,maneme,maneme,nanyumbu
manema,maneme,nanyumbu,nanyumbu
